id,uuid,quality_grade,url,image_url,description,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,"field:id meant for ""eater"" or organism being eaten?","field:url for ""partner"" observation",field:is observation one of these special types of feeding?
613368,4af8ee6a-6a67-49f5-93d7-e6194938f476,research,http://www.inaturalist.org/observations/613368,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,"",Green-banded Swallowtail,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilionini,,Papilio,,Papilio nireus,,,,,eater,https://www.inaturalist.org/observations/66464630,
613370,63fb2428-1dc0-45be-8174-e7e5602d4c2f,research,http://www.inaturalist.org/observations/613370,https://inaturalist-open-data.s3.amazonaws.com/photos/773135/medium.jpg,"",Green-banded Swallowtail,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilionini,,Papilio,,Papilio nireus,,,,,eater,https://www.inaturalist.org/observations/66464171,
673967,19a67241-86ba-4659-8c67-c52207e4ebf1,research,http://www.inaturalist.org/observations/673967,https://inaturalist-open-data.s3.amazonaws.com/photos/848814/medium.jpg,"",Elytraria acaulis,Elytraria acaulis,,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Acanthaceae,Nelsonioideae,,,,Elytraria,,Elytraria acaulis,,,,,thing being eaten,https://www.inaturalist.org/observations/103137514,
746116,459d964c-dca5-41e1-8a07-d01bdffd3ff6,research,http://www.inaturalist.org/observations/746116,https://inaturalist-open-data.s3.amazonaws.com/photos/938004/medium.jpg,"",Southern Red-billed Hornbill,Tockus rufirostris,Southern Red-billed Hornbill,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Bucerotiformes,,,Bucerotidae,,,,,Tockus,,Tockus rufirostris,,,,,eater,https://www.inaturalist.org/observations/66463516,
762178,32bb71ce-b7b7-47e3-92f0-405a4ca7eeca,needs_id,http://www.inaturalist.org/observations/762178,https://inaturalist-open-data.s3.amazonaws.com/photos/958265/medium.jpg,"Diaphone eumela, the Cherry Spot or Lily Borer

http://en.wikipedia.org/wiki/Diaphone_eumela

Species not listed",Cherry Spot,Diaphone,Cherry Spots,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,Glottulini,,Diaphone,,,,,,,,,
768014,ba325347-02fb-4863-bdc1-6206532a53e5,needs_id,http://www.inaturalist.org/observations/768014,https://inaturalist-open-data.s3.amazonaws.com/photos/965261/medium.jpg,"",Tsetse flies,Glossina,Tsetse flies,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Hippoboscoidea,Glossinidae,,,,,Glossina,,,,,,,eater,https://www.inaturalist.org/observations/66463381,
768088,ecaf3cc1-fe99-4d9b-9af1-76da9b68416c,needs_id,http://www.inaturalist.org/observations/768088,https://inaturalist-open-data.s3.amazonaws.com/photos/965274/medium.jpg,"",Palparini,Palparini,Giant Antlions,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Myrmeleontiformia,Myrmeleontoidea,Myrmeleontidae,Ascalaphinae,,Palparini,,,,,,,,,thing being eaten,https://www.inaturalist.org/observations/66463116,
770998,dbaed261-cebc-4f1f-8ab6-c99d3a634d78,research,http://www.inaturalist.org/observations/770998,https://static.inaturalist.org/photos/968318/medium.jpg,"",Gray Ratsnake,Pantherophis spiloides,Gray Ratsnake,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Pantherophis,,Pantherophis spiloides,,,,,eater,,"No, none of these"
785661,9cc97387-9d03-4580-84a8-3d4b6d05cbb0,research,http://www.inaturalist.org/observations/785661,https://inaturalist-open-data.s3.amazonaws.com/photos/987151/medium.jpg,"",Brown Hyllus Jumping Spider,Hyllus brevitarsis,Brown Hyllus Jumping Spider,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Plexippini,Plexippina,Hyllus,,Hyllus brevitarsis,,,,,eater,https://www.inaturalist.org/observations/66462946,
843690,e5541dfc-b52c-4198-b3eb-b92b5b08ad68,research,http://www.inaturalist.org/observations/843690,https://inaturalist-open-data.s3.amazonaws.com/photos/1068150/medium.JPG,"This hippo was curiously determined to investigate this zebra carcass that crocodiles were consuming. At times, it seemed content to ""nose"" the carcass, at other points, the hippo would attack the crocodiles. Exciting.

See paired observation of the crocodiles for photos of crocs eating zebra: http://www.inaturalist.org/observations/843687",hroch obojživelný,Hippopotamus amphibius,Common Hippopotamus,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Hippopotamidae,,,,,Hippopotamus,,Hippopotamus amphibius,,,,,eater,,Scavenging
855273,479c6093-3487-4f5d-87df-540729a7645c,research,http://www.inaturalist.org/observations/855273,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,"",Sooty Blue,Zizeeria knysna,African Grass Blue,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Zizeeriina,Zizeeria,,Zizeeria knysna,,,,,eater,"https://www.inaturalist.org/observations/66517113, https://www.inaturalist.org/observations/67665745",
855282,455c3640-1a34-4fbc-aea7-1a6a67a9aa82,research,http://www.inaturalist.org/observations/855282,https://inaturalist-open-data.s3.amazonaws.com/photos/1084115/medium.jpg,"",Stenodacma wahlbergi,Stenodacma wahlbergi,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoroidea,Pterophoridae,Pterophorinae,,Oxyptilini,,Stenodacma,,Stenodacma wahlbergi,,,,,eater,https://www.inaturalist.org/observations/66458766,
859795,b8f958a4-cc43-49fa-9076-e7d33ca953e1,research,http://www.inaturalist.org/observations/859795,https://inaturalist-open-data.s3.amazonaws.com/photos/1090771/medium.jpg,"",Axehead Skipper,Acada biseriata,Axehead Skipper,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Ceratrichiini,,Acada,,Acada biseriata,,,,,eater,https://www.inaturalist.org/observations/66462095,
859818,3e14382f-e6ed-4e17-b98f-360af2328ad9,needs_id,http://www.inaturalist.org/observations/859818,https://inaturalist-open-data.s3.amazonaws.com/photos/1090799/medium.jpg,"",Gonia,Gonia,Cutworm Flies,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,Exoristinae,,Goniini,,Gonia,,,,,,,eater,https://www.inaturalist.org/observations/66462095,
890705,efb37bf5-451d-46f7-90a8-f2f4b5195f31,research,http://www.inaturalist.org/observations/890705,https://inaturalist-open-data.s3.amazonaws.com/photos/1131787/medium.jpg,"",Philoliche rubramarginata,Philoliche rubramarginata,Redflank Needlenose Fly,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Pangoniinae,,Philolichini,,Philoliche,,Philoliche rubramarginata,,,,,eater,https://www.inaturalist.org/observations/66458394,
890716,745c6dd0-b1f2-456a-a927-2c73ce1f2488,needs_id,http://www.inaturalist.org/observations/890716,https://inaturalist-open-data.s3.amazonaws.com/photos/1131809/medium.jpg,"",Horse and Deer Flies,Tabanidae,Horse and Deer Flies,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,,,,,,,,,,,,eater,https://www.inaturalist.org/observations/66458238,
893936,27ea7d83-923d-48a5-89d2-5cf231316404,research,http://www.inaturalist.org/observations/893936,https://inaturalist-open-data.s3.amazonaws.com/photos/1136774/medium.jpg,"In 2nd photo, Hooded Vultures (Necrosyrtes monachus) rapidly devour dog's faeces. Dog initially chased off vultures but relented after 3rd go",Lycaon pictus pictus,Lycaon pictus pictus,Cape Wild Dog,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Lycaon,,Lycaon pictus,,Lycaon pictus pictus,,,thing being eaten,https://www.inaturalist.org/observations/894002,
894002,9df4dd71-d1ca-4426-aea6-5f506ed55d2a,research,http://www.inaturalist.org/observations/894002,https://inaturalist-open-data.s3.amazonaws.com/photos/1136901/medium.jpg,"",Hooded Vulture,Necrosyrtes monachus,Hooded Vulture,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Necrosyrtes,,Necrosyrtes monachus,,,,,eater,https://www.inaturalist.org/observations/893936,
913990,ee84d784-9267-4746-9f16-7aaa8bc2ae6e,needs_id,http://www.inaturalist.org/observations/913990,https://inaturalist-open-data.s3.amazonaws.com/photos/1166084/medium.jpg,"",Digger Bees,Anthophorini,Digger Bees,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,,,,,,,,eater,https://www.inaturalist.org/observations/66420608,
913998,59099e13-f717-4504-9f68-a9433abc401d,needs_id,http://www.inaturalist.org/observations/913998,https://inaturalist-open-data.s3.amazonaws.com/photos/1166095/medium.jpg,Possibly a Potter Wasp Eumenidae,Quartinia,Quartinia,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Masarinae,,Masarini,Masarina,Quartinia,,,,,,,eater,https://www.inaturalist.org/observations/66420608,
1031674,07afcbb0-5256-4ed7-99b2-bf57edb3e8c2,research,http://www.inaturalist.org/observations/1031674,https://inaturalist-open-data.s3.amazonaws.com/photos/1294252/medium.jpg,"Young of year, horns c.2 cm longer than ear, smooth down to skull",Southern Sable Antelope,Hippotragus niger niger,Southern Sable Antelope,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Hippotragini,,Hippotragus,,Hippotragus niger,,Hippotragus niger niger,,,thing being eaten,https://www.inaturalist.org/observations/1031679,
1031679,0358ce06-9f9d-49b5-baa5-2f3010cb8763,research,http://www.inaturalist.org/observations/1031679,https://inaturalist-open-data.s3.amazonaws.com/photos/1294271/medium.jpg,"",Southern Lion,Panthera leo melanochaita,Southern Lion,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,eater,https://www.inaturalist.org/observations/1031674,
1031728,1da4ac25-3db2-4090-8703-ae9a5aff5da7,research,http://www.inaturalist.org/observations/1031728,https://inaturalist-open-data.s3.amazonaws.com/photos/447010704/medium.jpg,"",Waterbuck,Kobus ellipsiprymnus,Waterbuck,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Reduncini,,Kobus,,Kobus ellipsiprymnus,,,,,eater,https://www.inaturalist.org/observations/1031726,
1055931,6222a174-8c75-4406-aa86-c01fa9c46c85,needs_id,http://www.inaturalist.org/observations/1055931,https://inaturalist-open-data.s3.amazonaws.com/photos/1324289/medium.jpg,"",Anthomyia,Anthomyia,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Anthomyiidae,,,,,Anthomyia,,,,,,,eater,https://www.inaturalist.org/observations/66420288,
1059442,789811f4-ecc1-4655-b293-edf31bdde09b,research,http://www.inaturalist.org/observations/1059442,https://inaturalist-open-data.s3.amazonaws.com/photos/1328444/medium.jpg,"",Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Bovinae,,Bovini,,Syncerus,,Syncerus caffer,,Syncerus caffer caffer,,,thing being eaten,https://www.inaturalist.org/observations/1059454,
1059454,e051fb0b-a3f9-4b0d-90f0-10701b248cca,research,http://www.inaturalist.org/observations/1059454,https://inaturalist-open-data.s3.amazonaws.com/photos/1328462/medium.jpg,"",Southern Lion,Panthera leo melanochaita,Southern Lion,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,eater,https://www.inaturalist.org/observations/1059442,
1068273,3d355bee-776a-439b-9428-42d792a30e22,research,http://www.inaturalist.org/observations/1068273,https://inaturalist-open-data.s3.amazonaws.com/photos/1339178/medium.jpg,"",Rüppell's Vulture,Gyps rueppelli,Rüppell's Griffon,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Gyps,,Gyps rueppelli,,,,,eater,https://www.inaturalist.org/observations/66419503,
1068300,65ef4c58-75e7-4f3d-a1a9-cef995e324e0,research,http://www.inaturalist.org/observations/1068300,https://inaturalist-open-data.s3.amazonaws.com/photos/1339207/medium.jpg,"",White-backed Vulture,Gyps africanus,White-backed Vulture,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Gyps,,Gyps africanus,,,,,eater,https://www.inaturalist.org/observations/66419503,
1068463,dcefd6e9-3bf3-48b8-b69e-6658a4b98231,research,http://www.inaturalist.org/observations/1068463,https://inaturalist-open-data.s3.amazonaws.com/photos/1339369/medium.jpg,may be Ortheziidae,Greenhouse Orthezia,Insignorthezia insignis,Greenhouse Orthezia,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Ortheziidae,,,,,Insignorthezia,,Insignorthezia insignis,,,,,eater,https://www.inaturalist.org/observations/11065591,
1120591,b0706dab-d90e-4d4f-b5a9-24a48b307636,research,http://www.inaturalist.org/observations/1120591,https://inaturalist-open-data.s3.amazonaws.com/photos/1407773/medium.jpg,"",Mausoleopsis amabilis interrupta,Mausoleopsis amabilis interrupta,Savanna White-spotted Fruit Chafer,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Cetoniini,Leucocelina,Mausoleopsis,,Mausoleopsis amabilis,,Mausoleopsis amabilis interrupta,,,eater,https://www.inaturalist.org/observations/74724598,
1126540,4e1fa12f-01a5-4f24-b38a-456a15cc5365,needs_id,http://www.inaturalist.org/observations/1126540,https://inaturalist-open-data.s3.amazonaws.com/photos/1416013/medium.jpg,"",Ochna atropurpurea,Ochna atropurpurea,,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Ochnaceae,Ochnoideae,,Ochneae,,Ochna,,Ochna atropurpurea,,,,,thing being eaten,https://www.inaturalist.org/observations/22363205,
1133892,c5644e2f-4e6b-4d3a-8efe-09dd9a86f4f2,research,http://www.inaturalist.org/observations/1133892,https://inaturalist-open-data.s3.amazonaws.com/photos/1425797/medium.jpg,"",Arniocera erythropyga,Arniocera erythropyga,Fire Grid Burnet,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Thyridoidea,Thyrididae,Charideinae,,,,Arniocera,,Arniocera erythropyga,,,,,eater,https://www.inaturalist.org/observations/74724395,
1133932,f9f7dd4c-0e8a-4cfc-8b3c-2e4e2016db38,needs_id,http://www.inaturalist.org/observations/1133932,https://inaturalist-open-data.s3.amazonaws.com/photos/1425846/medium.jpg,"",Anthribinae,Anthribinae,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Anthribidae,Anthribinae,,,,,,,,,,,thing being eaten,https://www.inaturalist.org/observations/11084042,
1135272,0edfe0f0-bbc7-44e8-93ed-c4bc749aa6d9,research,http://www.inaturalist.org/observations/1135272,https://inaturalist-open-data.s3.amazonaws.com/photos/1427749/medium.jpg,"",Tabanus taeniola,Tabanus taeniola,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Tabaninae,,Tabanini,,Tabanus,,Tabanus taeniola,,,,,eater,https://www.inaturalist.org/observations/66419028,
1207646,2b69a91f-5c93-4149-918a-6866b74ebcfe,research,http://www.inaturalist.org/observations/1207646,https://inaturalist-open-data.s3.amazonaws.com/photos/1525519/medium.jpg,"",Südafrikanischer Gepard,Acinonyx jubatus jubatus,Southern and Eastern African Cheetah,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,,,Acinonyx,,Acinonyx jubatus,,Acinonyx jubatus jubatus,,,,,
1207662,76d58319-7d29-49b6-8b8f-e234c67ef170,research,http://www.inaturalist.org/observations/1207662,https://inaturalist-open-data.s3.amazonaws.com/photos/1525540/medium.jpg,"",Südafrikanischer Gepard,Acinonyx jubatus jubatus,Southern and Eastern African Cheetah,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,,,Acinonyx,,Acinonyx jubatus,,Acinonyx jubatus jubatus,,,,,
1214196,5e480e53-0469-4d1e-9332-13fc851f878e,research,http://www.inaturalist.org/observations/1214196,https://inaturalist-open-data.s3.amazonaws.com/photos/1532470/medium.jpg,"",Eristalinus taeniops,Eristalinus taeniops,Stripe-eyed Lagoon Fly,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,Eristalini,Eristalina,Eristalinus,,Eristalinus taeniops,,,,,eater,https://www.inaturalist.org/observations/66419742,
1219458,2fe8f89b-329d-424e-8e15-98da0d5a8f7c,research,http://www.inaturalist.org/observations/1219458,https://inaturalist-open-data.s3.amazonaws.com/photos/1539598/medium.jpg,"",Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Hyaenidae,Hyaeninae,,,,Crocuta,,Crocuta crocuta,,,,,,,
1361255,afb3a1dd-5f13-4721-a3e0-2022b61bc629,needs_id,http://www.inaturalist.org/observations/1361255,https://inaturalist-open-data.s3.amazonaws.com/photos/1683419/medium.jpg,,Rhiniidae,Rhyncomya,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Rhiniidae,,,,,Rhyncomya,,,,,,,eater,https://www.inaturalist.org/observations/74716276,
1480375,814bb883-4dae-419b-b4e4-b95e744f4f86,research,http://www.inaturalist.org/observations/1480375,https://inaturalist-open-data.s3.amazonaws.com/photos/1835178/medium.jpg,,Baryphas ahenus,Baryphas ahenus,Baryphas Jumping Spider,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Plexippini,Plexippina,Baryphas,,Baryphas ahenus,,,,,eater,https://www.inaturalist.org/observations/66416214,
1480419,3166943e-9b32-49a5-89e8-753046f7b4e4,research,http://www.inaturalist.org/observations/1480419,https://inaturalist-open-data.s3.amazonaws.com/photos/1835223/medium.jpg,,Baryphas ahenus,Baryphas ahenus,Baryphas Jumping Spider,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Plexippini,Plexippina,Baryphas,,Baryphas ahenus,,,,,eater,https://www.inaturalist.org/observations/66416266,
1495497,fc50546e-a140-4931-baec-e3e8fdb4628a,needs_id,http://www.inaturalist.org/observations/1495497,https://inaturalist-open-data.s3.amazonaws.com/photos/1852528/medium.jpg,"",Syritta,Syritta,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,Milesiini,Tropidiina,Syritta,,,,,,,eater,"https://www.inaturalist.org/observations/66517113, https://www.inaturalist.org/observations/67665745",
