species,kingdom,phylum,class,order,user_family,family,genus
Sebastes paucispinis,Animalia,Chordata,,Scorpaeniformes,Scorpaenidae,Sebastidae,Sebastes
Myoxocephalus polyacanthocephalus,Animalia,Chordata,,Scorpaeniformes,Psychrolutidae,Cottidae,Myoxocephalus
Polistes metricus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Lonsdalea quercina,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Enterobacteriaceae,Lonsdalea
Strepera graculina,Animalia,Chordata,Aves,Passeriformes,Artamidae,Cracticidae,Strepera
Cyrtophora moluccensis,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Araneidae,Cyrtophoraceae,Cyrtophora
Icerya purchasi,Animalia,Arthropoda,Insecta,Hemiptera,Monophlebidae,Margarodidae,Icerya
Dorosoma cepedianum,Animalia,Chordata,,Clupeiformes,Dorosomatidae,Clupeidae,Dorosoma
Dallia pectoralis,Animalia,Chordata,,Esociformes,Esocidae,Umbridae,Dallia
Hydrophyllum fendleri,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Hydrophyllaceae,Hydrophyllum
Polistes aurifer,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Dolomedes albineus,Animalia,Arthropoda,Arachnida,Araneae,Dolomedidae,Pisauridae,Dolomedes
Heliotropium europaeum,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Heliotropiaceae,Heliotropium
Emesis russula,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Lycaenidae,Emesis
Anolis roquet,Animalia,Chordata,Squamata,,Anolidae,Dactyloidae,Anolis
Scorpaenichthys marmoratus,Animalia,Chordata,,Scorpaeniformes,Jordaniidae,Cottidae,Scorpaenichthys
Acanthogobius flavimanus,Animalia,Chordata,,Perciformes,Oxudercidae,Gobiidae,Acanthogobius
Viscum album,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Viscaceae,Viscum
Loriculus vernalis,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Loriculus
Cephalopyrus flammiceps,Animalia,Chordata,Aves,Passeriformes,Paridae,Remizidae,Cephalopyrus
Mikronegeria fagi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Zaghouaniaceae,Mikronegeriaceae,Mikronegeria
Nephila pilipes,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Nephila
Phainopepla nitens,Animalia,Chordata,Aves,Passeriformes,Ptiliogonatidae,Ptilogonatidae,Phainopepla
Psittacula longicauda,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Psittacula
Tanygnathus lucionensis,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Tanygnathus
Trichonephila antipodiana,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Trichonephila
Diplolepis rosae,Animalia,Arthropoda,Insecta,Hymenoptera,Diplolepididae,Cynipidae,Diplolepis
Delta esuriens,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Delta
Caulorhiza umbonata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,0,Tricholomataceae,Caulorhiza
Nephila kuhli,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Nephila
Phoradendron leucarpum,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Viscaceae,Phoradendron
Hemadas nubilipennis,Animalia,Arthropoda,Insecta,Hymenoptera,Ormyridae,Pteromalidae,Hemadas
Bucorvus leadbeateri,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Bucorvidae,Bucorvus
Dolomedes scriptus,Animalia,Arthropoda,Arachnida,Araneae,Dolomedidae,Pisauridae,Dolomedes
Zethus slossonae,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Zethus
Hapithus agitator,Animalia,Arthropoda,Insecta,Orthoptera,Oecanthidae,Gryllidae,Hapithus
Cicindela oregona,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Carabidae,Cicindela
Delta fenestrale,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Delta
Trichonephila senegalensis,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Trichonephila
Dolomedes triton,Animalia,Arthropoda,Arachnida,Araneae,Dolomedidae,Pisauridae,Dolomedes
Anolis equestris,Animalia,Chordata,Squamata,,Anolidae,Dactyloidae,Anolis
