Image_name,masked_crop_path,species,User_classified?,Same?
obs_333144263_photo_501540234,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_333144263_photo_501540234_115__crop.png,Erythricium aurantiacum,Erythricium aurantiacum,TRUE
obs_333664707_photo_605748155,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_333664707_photo_605748155_118__crop.png,Aeolidia loui,Aeolidia loui,TRUE
obs_33435868_photo_52515163,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_33435868_photo_52515163_3__crop.png,Paranemertes peregrina,Paranemertes peregrina,TRUE
obs_336269939_photo_611037472,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_336269939_photo_611037472_130__crop.png,Peripatoides novaezealandiae,Peripatoides novaezealandiae,TRUE
obs_337063055_photo_612648507,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_337063055_photo_612648507_134__crop.png,Charonia tritonis,Charonia tritonis,TRUE
obs_337600645_photo_614526508,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_337600645_photo_614526508_141__crop.png,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,TRUE
obs_338007030_photo_614585734,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_338007030_photo_614585734_153__crop.png,Eobania vermiculata,Eobania vermiculata,TRUE
obs_338486970_photo_615576074,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_338486970_photo_615576074_158__crop.png,Spisula solidissima,Spisula solidissima,TRUE
obs_339993526_photo_618618071,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_339993526_photo_618618071_163__crop.png,Evasterias troschelii,Evasterias troschelii,TRUE
obs_340271186_photo_619190124,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340271186_photo_619190124_172__crop.png,Baccharis pilularis,Baccharis pilularis,TRUE
obs_340337296_photo_536341964,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340337296_photo_536341964_183__crop.png,Lotus corniculatus,Lotus corniculatus,TRUE
obs_340337865_photo_533753896,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340337865_photo_533753896_188__crop.png,Vicia cracca,Vicia cracca,TRUE
obs_340364592_photo_619375042,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340364592_photo_619375042_192__crop.png,Aquarius najas,Aquarius najas,TRUE
obs_340368188_photo_619383348,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340368188_photo_619383348_196__crop.png,Diplolepis rosae,Diplolepis rosae,TRUE
obs_340433312_photo_619519266,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340433312_photo_619519266_197__crop.png,Limnodynastes peronii,Limnodynastes peronii,TRUE
obs_340514309_photo_619678757,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340514309_photo_619678757_201__crop.png,Buteo jamaicensis,Buteo jamaicensis,TRUE
obs_340514310_photo_619679014,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340514310_photo_619679014_204__crop.png,Sciurus carolinensis,Sciurus carolinensis,TRUE
obs_340825934_photo_620308797,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340825934_photo_620308797_213__crop.png,Guira guira,Guira guira,TRUE
obs_340848514_photo_620354575,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340848514_photo_620354575_222__crop.png,Paraleyrodes minei,Paraleyrodes minei,TRUE
obs_340848746_photo_620355031,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_340848746_photo_620355031_226__crop.png,Tetraleurodes perileuca,Tetraleurodes perileuca,TRUE
obs_341060278_photo_547585371,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_341060278_photo_547585371_230__crop.png,Chamaenerion angustifolium,Chamaenerion angustifolium,TRUE
obs_341067936_photo_620805844,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_341067936_photo_620805844_235__crop.png,Apis mellifera,Apis mellifera,TRUE
obs_341194952_photo_621071156,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_341194952_photo_621071156_240__crop.png,Ardea alba,Ardea alba,TRUE
